ID,NAME,LAT,LONG,ELEVATION
1,R6010101,36.81152,-81.99845,522
2,R6010102,36.629259,-81.972175,551
3,R6010103,36.308149,-82.030237,814
4,R6010104,36.287025,-83.288245,327
5,R6010105,35.60772,-82.672789,676
6,R6010106,35.623326,-83.037211,1017
7,R6010107,35.876088,-83.48367,317
8,R6010108,35.954036,-82.259706,1111
9,R6010201,35.776129,-83.868431,286
10,R6010202,35.231412,-83.501031,772
11,R6010203,35.404757,-83.243624,934
12,R6010204,35.472767,-84.073786,474
13,R6010205,36.727537,-82.72871,541
14,R6010206,36.612943,-83.356045,437
15,R6010207,36.065477,-84.147307,268
16,R6010208,36.043187,-84.79205,486
17,R6020001,35.146625,-85.182775,226
18,R6020002,34.980756,-83.930055,557
19,R6020003,34.911094,-84.337085,514
20,R6020004,35.396043,-85.399943,575
21,R6030001,34.680148,-85.959019,195
22,R6030002,34.685423,-86.706232,204
23,R6030003,35.226823,-86.347884,305
24,R6030004,35.137198,-87.086757,248
25,R6030005,34.86535,-87.698376,184
26,R6030006,34.51783,-87.924891,189
27,R6040001,35.416928,-88.143702,121
28,R6040002,35.527168,-86.522536,217
29,R6040003,35.780282,-87.371873,187
30,R6040004,35.516432,-87.643529,264
31,R6040005,36.284925,-88.089462,109
32,R6040006,36.814274,-88.421724,147
